date,ripple
2019-03-17,13.0
2019-03-18,13.0
2019-03-19,12.0
2019-03-20,14.0
2019-03-21,11.0
2019-03-22,12.0
2019-03-23,12.0
2019-03-24,12.0
2019-03-25,12.0
2019-03-26,12.0
2019-03-27,13.0
2019-03-28,11.0
2019-03-29,11.0
2019-03-30,13.0
2019-03-31,13.0
2019-04-01,12.0
2019-04-02,20.0
2019-04-03,20.0
2019-04-04,15.0
2019-04-05,20.0
2019-04-06,15.0
2019-04-07,15.0
2019-04-08,14.0
2019-04-09,15.0
2019-04-10,16.0
2019-04-11,15.0
2019-04-12,14.0
2019-04-13,13.0
2019-04-14,14.0
2019-04-15,12.0
2019-04-16,14.0
2019-04-17,14.0
2019-04-18,13.0
2019-04-19,13.0
2019-04-20,16.0
2019-04-21,14.0
2019-04-22,13.0
2019-04-23,15.0
2019-04-24,15.0
2019-04-25,13.0
2019-04-26,12.0
2019-04-27,12.0
2019-04-28,12.0
2019-04-29,12.0
2019-04-30,14.0
2019-05-01,14.0
2019-05-02,13.0
2019-05-03,14.0
2019-05-04,11.0
2019-05-05,14.0
2019-05-06,14.0
2019-05-07,13.0
2019-05-08,14.0
2019-05-09,12.0
2019-05-10,13.0
2019-05-11,16.0
2019-05-12,17.0
2019-05-13,17.0
2019-05-14,27.0
2019-05-15,27.0
2019-05-16,25.0
2019-05-17,18.0
2019-05-18,17.0
2019-05-19,18.0
2019-05-20,17.0
2019-05-21,17.0
2019-05-22,16.0
2019-05-23,13.0
2019-05-24,15.0
2019-05-25,13.0
2019-05-26,15.0
2019-05-27,19.0
2019-05-28,20.0
2019-05-29,21.0
2019-05-30,17.0
2019-05-31,15.0
2019-06-01,17.0
2019-06-02,16.0
2019-06-03,16.0
2019-06-04,16.0
2019-06-05,14.0
2019-06-06,14.0
2019-06-07,14.0
2019-06-08,16.0
2019-06-09,14.0
2019-06-10,13.0
2019-06-11,14.0
2019-06-12,15.0
2019-06-13,13.0
2019-06-14,15.0
2019-06-15,16.0
2019-06-16,17.0
2019-06-17,19.0
2019-06-18,21.0
2019-06-19,17.0
2019-06-20,16.0
2019-06-21,18.0
2019-06-22,21.0
2019-06-23,23.0
2019-06-24,18.0
2019-06-25,20.0
2019-06-26,25.0
2019-06-27,22.0
2019-06-28,15.0
2019-06-29,16.0
2019-06-30,14.0
2019-07-01,14.0
2019-07-02,15.0
2019-07-03,14.0
2019-07-04,13.0
2019-07-05,15.0
2019-07-06,13.0
2019-07-07,15.0
2019-07-08,16.0
2019-07-09,16.0
2019-07-10,15.0
2019-07-11,17.0
2019-07-12,16.0
2019-07-13,11.0
2019-07-14,13.0
2019-07-15,15.0
2019-07-16,13.0
2019-07-17,13.0
2019-07-18,14.0
2019-07-19,13.0
2019-07-20,13.0
2019-07-21,15.0
2019-07-22,13.0
2019-07-23,12.0
2019-07-24,12.0
2019-07-25,13.0
2019-07-26,13.0
2019-07-27,11.0
2019-07-28,13.0
2019-07-29,12.0
2019-07-30,12.0
2019-07-31,12.0
2019-08-01,11.0
2019-08-02,13.0
2019-08-03,13.0
2019-08-04,13.0
2019-08-05,14.0
2019-08-06,11.0
2019-08-07,12.0
2019-08-08,12.0
2019-08-09,12.0
2019-08-10,14.0
2019-08-11,10.0
2019-08-12,11.0
2019-08-13,14.0
2019-08-14,13.0
2019-08-15,12.0
2019-08-16,12.0
2019-08-17,13.0
2019-08-18,17.0
2019-08-19,14.0
2019-08-20,13.0
2019-08-21,11.0
2019-08-22,11.0
2019-08-23,14.0
2019-08-24,10.0
2019-08-25,13.0
2019-08-26,14.0
2019-08-27,13.0
2019-08-28,12.0
2019-08-29,12.0
2019-08-30,12.0
2019-08-31,12.0
2019-09-01,12.0
2019-09-02,11.0
2019-09-03,12.0
2019-09-04,13.0
2019-09-05,10.0
2019-09-06,12.0
2019-09-07,16.0
2019-09-08,13.0
2019-09-09,13.0
2019-09-10,11.0
2019-09-11,12.0
2019-09-12,12.0
2019-09-13,12.0
2019-09-14,11.0
2019-09-15,12.0
2019-09-16,13.0
2019-09-17,16.0
2019-09-18,17.0
2019-09-19,13.0
2019-09-20,13.0
2019-09-21,13.0
2019-09-22,12.0
2019-09-23,12.0
2019-09-24,15.0
2019-09-25,14.0
2019-09-26,12.0
2019-09-27,11.0
2019-09-28,12.0
2019-09-29,11.0
2019-09-30,13.0
2019-10-01,11.0
2019-10-02,14.0
2019-10-03,11.0
2019-10-04,12.0
2019-10-05,12.0
2019-10-06,15.0
2019-10-07,13.0
2019-10-08,13.0
2019-10-09,12.0
2019-10-10,11.0
2019-10-11,13.0
2019-10-12,11.0
2019-10-13,12.0
2019-10-14,14.0
2019-10-15,12.0
2019-10-16,12.0
2019-10-17,13.0
2019-10-18,13.0
2019-10-19,13.0
2019-10-20,11.0
2019-10-21,12.0
2019-10-22,13.0
2019-10-23,14.0
2019-10-24,13.0
2019-10-25,13.0
2019-10-26,14.0
2019-10-27,13.0
2019-10-28,13.0
2019-10-29,11.0
2019-10-30,12.0
2019-10-31,12.0
2019-11-01,11.0
2019-11-02,14.0
2019-11-03,15.0
2019-11-04,12.0
2019-11-05,14.0
2019-11-06,17.0
2019-11-07,15.0
2019-11-08,15.0
2019-11-09,11.0
2019-11-10,14.0
2019-11-11,11.0
2019-11-12,11.0
2019-11-13,13.0
2019-11-14,12.0
2019-11-15,10.0
2019-11-16,11.0
2019-11-17,11.0
2019-11-18,13.0
2019-11-19,12.0
2019-11-20,11.0
2019-11-21,12.0
2019-11-22,11.0
2019-11-23,12.0
2019-11-24,14.0
2019-11-25,13.0
2019-11-26,11.0
2019-11-27,11.0
2019-11-28,11.0
2019-11-29,11.0
2019-11-30,8.0
2019-12-01,11.0
2019-12-02,10.0
2019-12-03,11.0
2019-12-04,10.0
2019-12-05,11.0
2019-12-06,9.0
2019-12-07,9.0
2019-12-08,11.0
2019-12-09,9.0
2019-12-10,10.0
2019-12-11,11.0
2019-12-12,13.0
2019-12-13,8.0
2019-12-14,11.0
2019-12-15,13.0
2019-12-16,11.0
2019-12-17,12.0
2019-12-18,12.0
2019-12-19,9.0
2019-12-20,12.0
2019-12-21,13.0
2019-12-22,13.0
2019-12-23,14.0
2019-12-24,13.0
2019-12-25,10.0
2019-12-26,10.0
2019-12-27,9.0
2019-12-28,10.0
2019-12-29,13.0
2019-12-30,9.0
2019-12-31,13.0
2020-01-01,11.0
2020-01-02,10.0
2020-01-03,11.0
2020-01-04,8.0
2020-01-05,10.0
2020-01-06,13.0
2020-01-07,12.0
2020-01-08,10.0
2020-01-09,12.0
2020-01-10,12.0
2020-01-11,10.0
2020-01-12,12.0
2020-01-13,12.0
2020-01-14,12.0
2020-01-15,16.0
2020-01-16,12.0
2020-01-17,11.0
2020-01-18,10.0
2020-01-19,19.0
2020-01-20,11.0
2020-01-21,12.0
2020-01-22,13.0
2020-01-23,12.0
2020-01-24,13.0
2020-01-25,10.0
2020-01-26,14.0
2020-01-27,11.0
2020-01-28,10.0
2020-01-29,11.0
2020-01-30,11.0
2020-01-31,10.0
2020-02-01,10.0
2020-02-02,12.0
2020-02-03,12.0
2020-02-04,14.0
2020-02-05,14.0
2020-02-06,15.0
2020-02-07,13.0
2020-02-08,10.0
2020-02-09,15.0
2020-02-10,13.0
2020-02-11,12.0
2020-02-12,14.0
2020-02-13,20.0
2020-02-14,17.0
2020-02-15,13.0
2020-02-16,15.0
2020-02-17,14.0
2020-02-18,13.0
2020-02-19,15.0
2020-02-20,13.0
2020-02-21,11.0
2020-02-22,11.0
2020-02-23,15.0
2020-02-24,12.0
2020-02-25,12.0
2020-02-26,12.0
2020-02-27,12.0
2020-02-28,12.0
2020-02-29,10.0
2020-03-01,11.0
2020-03-02,11.0
2020-03-03,10.0
2020-03-04,11.0
2020-03-05,11.0
2020-03-06,11.0
2020-03-07,12.0
2020-03-08,16.0
2020-03-09,12.0
2020-03-10,9.0
2020-03-11,10.0
2020-03-12,13.0
2020-03-13,13.0
2020-03-14,12.0
2020-03-15,12.0
2020-03-16,10.0
2020-03-17,10.0
2020-03-18,10.0
2020-03-19,12.0
2020-03-20,10.0
2020-03-21,9.0
2020-03-22,9.0
2020-03-23,10.0
2020-03-24,11.0
2020-03-25,11.0
2020-03-26,10.0
2020-03-27,12.0
2020-03-28,9.0
2020-03-29,9.0
2020-03-30,10.0
2020-03-31,9.0
2020-04-01,8.0
2020-04-02,9.0
2020-04-03,9.0
2020-04-04,10.0
2020-04-05,9.0
2020-04-06,11.0
2020-04-07,12.0
2020-04-08,12.0
2020-04-09,10.0
2020-04-10,9.0
2020-04-11,10.0
2020-04-12,11.0
2020-04-13,10.0
2020-04-14,8.0
2020-04-15,9.0
2020-04-16,10.0
2020-04-17,9.0
2020-04-18,12.0
2020-04-19,11.0
2020-04-20,10.0
2020-04-21,11.0
2020-04-22,11.0
2020-04-23,10.0
2020-04-24,10.0
2020-04-25,10.0
2020-04-26,10.0
2020-04-27,9.0
2020-04-28,12.0
2020-04-29,14.0
2020-04-30,11.0
2020-05-01,12.0
2020-05-02,13.0
2020-05-03,11.0
2020-05-04,10.0
2020-05-05,12.0
2020-05-06,11.0
2020-05-07,12.0
2020-05-08,11.0
2020-05-09,14.0
2020-05-10,16.0
2020-05-11,14.0
2020-05-12,10.0
2020-05-13,10.0
2020-05-14,11.0
2020-05-15,11.0
2020-05-16,11.0
2020-05-17,11.0
2020-05-18,11.0
2020-05-19,11.0
2020-05-20,11.0
2020-05-21,11.0
2020-05-22,11.0
2020-05-23,9.0
2020-05-24,12.0
2020-05-25,9.0
2020-05-26,10.0
2020-05-27,10.0
2020-05-28,9.0
2020-05-29,11.0
2020-05-30,11.0
2020-05-31,12.0
2020-06-01,9.0
2020-06-02,10.0
2020-06-03,10.0
2020-06-04,11.0
2020-06-05,11.0
2020-06-06,11.0
2020-06-07,12.0
2020-06-08,11.0
2020-06-09,10.0
2020-06-10,11.0
2020-06-11,10.0
2020-06-12,11.0
2020-06-13,12.0
2020-06-14,11.0
2020-06-15,11.0
2020-06-16,12.0
2020-06-17,10.0
2020-06-18,12.0
2020-06-19,11.0
2020-06-20,11.0
2020-06-21,11.0
2020-06-22,11.0
2020-06-23,10.0
2020-06-24,10.0
2020-06-25,10.0
2020-06-26,10.0
2020-06-27,10.0
2020-06-28,11.0
2020-06-29,9.0
2020-06-30,9.0
2020-07-01,11.0
2020-07-02,11.0
2020-07-03,11.0
2020-07-04,8.0
2020-07-05,10.0
2020-07-06,10.0
2020-07-07,9.0
2020-07-08,13.0
2020-07-09,10.0
2020-07-10,11.0
2020-07-11,10.0
2020-07-12,12.0
2020-07-13,9.0
2020-07-14,9.0
2020-07-15,10.0
2020-07-16,10.0
2020-07-17,10.0
2020-07-18,10.0
2020-07-19,10.0
2020-07-20,11.0
2020-07-21,11.0
2020-07-22,11.0
2020-07-23,9.0
2020-07-24,12.0
2020-07-25,12.0
2020-07-26,10.0
2020-07-27,13.0
2020-07-28,13.0
2020-07-29,16.0
2020-07-30,13.0
2020-07-31,14.0
2020-08-01,20.0
2020-08-02,17.0
2020-08-03,16.0
2020-08-04,15.0
2020-08-05,17.0
2020-08-06,12.0
2020-08-07,14.0
2020-08-08,12.0
2020-08-09,14.0
2020-08-10,14.0
2020-08-11,12.0
2020-08-12,13.0
2020-08-13,13.0
2020-08-14,14.0
2020-08-15,12.0
2020-08-16,15.0
2020-08-17,15.0
2020-08-18,14.0
2020-08-19,13.0
2020-08-20,12.0
2020-08-21,13.0
2020-08-22,11.0
2020-08-23,11.0
2020-08-24,11.0
2020-08-25,10.0
2020-08-26,11.0
2020-08-27,11.0
2020-08-28,11.0
2020-08-29,10.0
2020-08-30,12.0
2020-08-31,11.0
2020-09-01,13.0
2020-09-02,14.0
2020-09-03,11.0
2020-09-04,11.0
2020-09-05,12.0
2020-09-06,11.0
2020-09-07,10.0
2020-09-08,12.0
2020-09-09,10.0
2020-09-10,11.0
2020-09-11,11.0
2020-09-12,11.0
2020-09-13,11.0
2020-09-14,10.0
2020-09-15,10.0
2020-09-16,10.0
2020-09-17,10.0
2020-09-18,10.0
2020-09-19,9.0
2020-09-20,11.0
2020-09-21,8.0
2020-09-22,10.0
2020-09-23,9.0
2020-09-24,9.0
2020-09-25,10.0
2020-09-26,12.0
2020-09-27,12.0
2020-09-28,10.0
2020-09-29,8.0
2020-09-30,9.0
2020-10-01,10.0
2020-10-02,10.0
2020-10-03,9.0
2020-10-04,9.0
2020-10-05,10.0
2020-10-06,10.0
2020-10-07,9.0
2020-10-08,11.0
2020-10-09,9.0
2020-10-10,9.0
2020-10-11,8.0
2020-10-12,9.0
2020-10-13,9.0
2020-10-14,10.0
2020-10-15,10.0
2020-10-16,9.0
2020-10-17,9.0
2020-10-18,9.0
2020-10-19,8.0
2020-10-20,9.0
2020-10-21,11.0
2020-10-22,11.0
2020-10-23,10.0
2020-10-24,12.0
2020-10-25,8.0
2020-10-26,11.0
2020-10-27,11.0
2020-10-28,10.0
2020-10-29,11.0
2020-10-30,10.0
2020-10-31,9.0
2020-11-01,13.0
2020-11-02,9.0
2020-11-03,10.0
2020-11-04,9.0
2020-11-05,12.0
2020-11-06,13.0
2020-11-07,12.0
2020-11-08,12.0
2020-11-09,11.0
2020-11-10,12.0
2020-11-11,10.0
2020-11-12,10.0
2020-11-13,11.0
2020-11-14,11.0
2020-11-15,12.0
2020-11-16,11.0
2020-11-17,15.0
2020-11-18,16.0
2020-11-19,14.0
2020-11-20,16.0
2020-11-21,33.0
2020-11-22,32.0
2020-11-23,37.0
2020-11-24,56.0
2020-11-25,31.0
2020-11-26,27.0
2020-11-27,21.0
2020-11-28,23.0
2020-11-29,28.0
2020-11-30,25.0
2020-12-01,23.0
2020-12-02,20.0
2020-12-03,19.0
2020-12-04,18.0
2020-12-05,16.0
2020-12-06,20.0
2020-12-07,16.0
2020-12-08,16.0
2020-12-09,15.0
2020-12-10,16.0
2020-12-11,17.0
2020-12-12,17.0
2020-12-13,21.0
2020-12-14,19.0
2020-12-15,14.0
2020-12-16,22.0
2020-12-17,29.0
2020-12-18,21.0
2020-12-19,18.0
2020-12-20,18.0
2020-12-21,19.0
2020-12-22,33.0
2020-12-23,67.0
2020-12-24,46.0
2020-12-25,42.0
2020-12-26,30.0
2020-12-27,30.0
2020-12-28,33.0
2020-12-29,59.0
2020-12-30,37.0
2020-12-31,28.0
2021-01-01,28.0
2021-01-02,31.0
2021-01-03,32.0
2021-01-04,32.0
2021-01-05,26.0
2021-01-06,27.0
2021-01-07,50.0
2021-01-08,35.0
2021-01-09,29.0
2021-01-10,29.0
2021-01-11,28.0
2021-01-12,24.0
2021-01-13,22.0
2021-01-14,22.0
2021-01-15,22.0
2021-01-16,20.0
2021-01-17,23.0
2021-01-18,20.0
2021-01-19,23.0
2021-01-20,19.0
2021-01-21,22.0
2021-01-22,18.0
2021-01-23,18.0
2021-01-24,21.0
2021-01-25,18.0
2021-01-26,16.0
2021-01-27,18.0
2021-01-28,16.0
2021-01-29,24.0
2021-01-30,53.0
2021-01-31,62.0
2021-02-01,100.0
2021-02-02,43.0
2021-02-03,32.0
2021-02-04,33.0
2021-02-05,32.0
2021-02-06,27.0
2021-02-07,24.0
2021-02-08,29.0
2021-02-09,35.0
2021-02-10,33.0
2021-02-11,33.0
2021-02-12,35.0
2021-02-13,37.0
2021-02-14,34.0
2021-02-15,33.0
2021-02-16,33.0
2021-02-17,28.0
2021-02-18,28.0
2021-02-19,30.0
2021-02-20,34.0
2021-02-21,35.0
2021-02-22,73.0
2021-02-23,40.0
2021-02-24,29.0
2021-02-25,23.0
2021-02-26,22.0
2021-02-27,24.0
2021-02-28,18.0
2021-03-01,19.0
2021-03-02,17.0
2021-03-03,19.0
2021-03-04,20.0
2021-03-05,16.0
2021-03-06,19.0
2021-03-07,17.0
2021-03-08,18.0
2021-03-09,19.0
2021-03-10,16.0
2021-03-11,19.0
2021-03-12,15.0
2021-03-13,16.0
2021-03-14,17.0
2021-03-15,17.0
2021-03-16,19.0
2021-03-17,17.0
2021-03-18,19.0
2021-03-19,14.0
2021-03-20,22.0
2021-03-21,21.0
2021-03-22,27.0
2021-03-23,20.0
2021-03-24,19.0
2021-03-25,18.0
2021-03-26,17.0
2021-03-27,15.0
2021-03-28,17.0
2021-03-29,15.0
2021-03-30,20.0
2021-03-31,16.0
2021-04-01,18.0
2021-04-02,18.0
2021-04-03,24.0
2021-04-04,20.0
2021-04-05,55.0
2021-04-06,78.0
2021-04-07,42.0
2021-04-08,36.0
2021-04-09,31.0
2021-04-10,58.0
2021-04-11,69.0
2021-04-12,48.0
